id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2115,Bed and breakfast in Como · ★4.96 · 2 bedrooms · 3 beds · 1 shared bath,2313,Helen,,SOUTH PERTH,-32.00657,115.86515,Private room,140,1,134,2023-07-20,1.03,1,148,58,
1898799,Bed and breakfast in Narrogin · ★4.61 · 1 bedroom · 2 beds · 1 shared bath,9863042,Lizette,,NARROGIN,-32.94006,117.18916,Private room,110,1,41,2022-08-12,0.49,4,365,1,
59311,Home in Perth · ★4.86 · 1 bedroom · 1 bed · 1.5 baths,284743,Rudy And Lina,,GOSNELLS,-32.07628,115.932,Private room,80,1,7,2018-04-28,0.05,1,225,0,
725819,Home in Wembley Downs · ★4.84 · 1 bedroom · 1 bed · 1 shared bath,3754542,Margaret,,STIRLING,-31.91586,115.7777,Private room,75,4,57,2023-07-15,0.44,7,337,15,
747648,Rental unit in Mt Lawley · ★4.88 · 2 bedrooms · 2 beds · 1 bath,3925559,Lina,,STIRLING,-31.92343,115.87968,Entire home/apt,125,4,136,2023-05-28,1.05,2,232,4,
65261,Guest suite in Fremantle · ★4.39 · 1 bedroom · 1 bed · 1 bath,319052,Suzanne Elizabeth,,FREMANTLE,-32.04788,115.76418,Entire home/apt,70,2,313,2023-07-22,2.13,1,136,37,
756766,Rental unit in Perth · ★4.77 · 1 bedroom · 2 beds · 1 bath,512735,Sigrid,,BAYSWATER,-31.9288,115.89198,Entire home/apt,96,7,45,2023-05-25,0.39,4,292,10,
1910146,Bungalow in North Perth · ★4.76 · 2 bedrooms · 2 beds · 2 baths,9912092,Tim And Rosemary,,VINCENT,-31.93085,115.85111,Entire home/apt,152,2,261,2023-07-20,2.30,1,217,43,
69534,Bed and breakfast in Perth · ★4.83 · 1 bedroom · 1 bed · 1 private bath,348191,Teresa,,JOONDALUP,-31.84295,115.80467,Private room,120,3,12,2022-12-19,0.17,1,211,1,
1932465,Home in Clarkson · ★4.82 · 5 bedrooms · 6 beds · 2.5 baths,10003471,Andrew,,WANNEROO,-31.68982,115.72129,Entire home/apt,225,7,195,2023-07-02,1.79,1,159,17,
88185,Home in Perth · ★4.95 · 1 bedroom · 1 bed · 1 shared bath,474393,Anne,,VINCENT,-31.942358,115.858208,Private room,75,2,220,2023-07-18,1.47,2,100,21,
1941528,Rental unit in Geraldton · ★4.67 · 1 bedroom · 1 bed · 1 bath,7994868,Dean,,GREATER GERALDTON,-28.76631,114.61575,Entire home/apt,156,2,115,2023-05-20,1.07,1,325,20,
760919,Rental unit in Sorrento · ★4.76 · 1 bedroom · 1 bed · 1 bath,4011409,Wendy,,JOONDALUP,-31.83336,115.75076,Entire home/apt,60,14,146,2023-07-22,1.14,1,192,9,
119422,Home in Hillarys · ★4.93 · 1 bedroom · 1 bed · 1 bath,602975,Mary,,JOONDALUP,-31.8155,115.74252,Private room,70,2,31,2023-02-17,0.21,2,221,6,
786046,Villa in Dunsborough · ★4.72 · 3 bedrooms · 4 beds · 1.5 baths,4143995,Jacqueline,,BUSSELTON,-33.62005,115.0932,Entire home/apt,250,3,89,2022-05-09,0.72,1,0,0,
141083,Home in Jindalee · 1 bedroom · 1 bed · Half-bath,686529,Suzy,,WANNEROO,-31.65373,115.69259,Private room,195,2,0,,,1,0,0,
787951,Serviced apartment in Sorrento · ★4.80 · 1 bedroom · 1 bed · 1 bath,4153323,Andrew,,JOONDALUP,-31.83072,115.74696,Entire home/apt,269,3,25,2023-04-30,0.38,6,240,12,
787990,Resort in Sorrento · ★4.75 · 1 bedroom · 1 bed · 1 private bath,4153323,Andrew,,JOONDALUP,-31.83072,115.74696,Hotel room,216,3,4,2022-08-21,0.05,6,233,1,
1945766,Villa in Victoria Park · ★4.82 · 2 bedrooms · 2 beds · 1 bath,10064594,Jan,,VICTORIA PARK,-31.97437,115.88495,Entire home/apt,110,3,111,2023-07-20,0.99,1,13,16,
141610,Villa in Denmark · ★5.0 · 2 bedrooms · 3 beds · 1 bath,688591,Gadi,,DENMARK,-34.9844,117.35222,Entire home/apt,291,5,10,2023-03-20,0.19,4,315,3,
1967981,Home in Beresford · ★4.83 · 4 bedrooms · 4 beds · 2 baths,10165039,Stef,,GREATER GERALDTON,-28.75341,114.61929,Entire home/apt,480,3,53,2023-06-05,0.54,6,333,7,
1985393,Home in North Beach · ★4.83 · 1 bedroom · 1 bed · 1 shared bath,4956783,Nick,,STIRLING,-31.86268,115.76371,Private room,75,2,70,2023-07-08,0.60,1,220,22,
787999,Serviced apartment in Sorrento · ★4.58 · 2 bedrooms · 4 beds · 1.5 baths,4153323,Andrew,,JOONDALUP,-31.83073,115.74915,Entire home/apt,260,3,89,2023-06-03,0.78,6,244,31,
161731,Townhouse in Mt Lawley · ★4.92 · 2 bedrooms · 1 bed · 2.5 baths,773536,Eugene And Terry,,VINCENT,-31.93661,115.86692,Private room,85,1,180,2023-06-27,1.24,1,291,36,
